,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source
39,PRISM: Using data to save lives when disasters strike,"When natural disasters strike, rescue services need to know where people are most at risk. The last population census in the former Yugoslav Republic of Macedonia was carried out in 2002, leaving a major gap in population data. This gap can create serious problems during emergencies. For example, during a winter storm in 2012, rescue helicopters were dispatched to remote villages only to discover that nobody was there. Having real-time tools in place could help capture the population’s mobility and ensure that those most-at risk are reached on time. UNDP and the former Yugoslav Republic of Macedonia Crisis Management Center have recently completed integrated risk and hazard assessments in each of the 81 municipalities in the country. Using mobile data to complement all this work seemed the natural next step. The way people use mobile phones provides insights into patterns of behaviour on the ground that can be life-saving. The team set out to study whether mobile phone calls could serve as proxy indicators for people’s mobility, as well as to understand how men and women use mobile phones differently (for clues into their diverse levels of vulnerability based on sex-disaggregated data).",EWS,Disaster relief logistic/resource allocation ,production,recovery,Mobile App,Various,Cambodia ,"WFP, Cambodia’s National Committee for Disaster Management",WFP Innovation Accelerator,Text Data,No Information,2018,https://medium.com/world-food-programme-insight/prism-using-data-to-save-lives-in-cambodia-9607ebde5e21
40,Crisis Mapping: Open source interactive mapping solution,"Using the information from geotagged Twitter messages and other mappable content from hundreds of other online sources, volunteers created an interactive map (Ushahidi Platform) with the information on the damaged areas during Haiti earthquake",Situational Awareness,Damage and loss assessment ,prototype,recovery,Geographical Information Systems,Various,Global,"U.S. Coast Guard, the American Red Cross, and the U.S. Marine Corps. ",None,Spatial Data,No Information,2010,https://www.dhs.gov/sites/default/files/publications/Social-Media-EM_0913-508_0.pdf
41,Crisis Mapping: Open source interactive mapping solution,"Using the information from geotagged Twitter messages and other mappable content from hundreds of other online sources, volunteers created an interactive map (Ushahidi Platform) with the information on the damaged areas during Haiti earthquake",Situational Awareness,Damage and loss assessment ,prototype,mitigation,Geographical Information Systems,Various,Global,"U.S. Coast Guard, the American Red Cross, and the U.S. Marine Corps. ",None,Spatial Data,No Information,2010,https://www.dhs.gov/sites/default/files/publications/Social-Media-EM_0913-508_0.pdf
42,Cholera outbreaks predicted using climate data and AI,"Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.",Disease Prediction,Disaster assessment/prediction and early warning systems ,production,preparedness,Geographical Information Systems,Pandemic/Epidemic,India,ESA,None,Spatial Data,No Information,2020,"https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera."
43,Cholera outbreaks predicted using climate data and AI,"Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.",Disease Prediction,Disaster assessment/prediction and early warning systems ,production,response,Geographical Information Systems,Pandemic/Epidemic,India,ESA,None,Spatial Data,No Information,2020,"https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera."
44,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,preparedness,Mobile App,Various,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services
45,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,recovery,Mobile App,Various,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services
46,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,response,Mobile App,Various,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services
47,Earthquake Scenarios Project,"Using GIS software the project produced a deterministic assessment of seismic risk. The model estimated the potential population losses, damages and other risks which allowed to produce acurate DRR plan.",Disaster Risk Management,Disaster assessment/prediction and early warning systems ,production,mitigation ,Geographical Information Systems,Earthquakes,Armenia,"National Academy of Science, Ministry of Emergency and Georisk",UNDP Armenia,Spatial Data,No Information,2019,https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html
48,Volcanoes & Earthquakes Application,The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list. ,Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Volcano,Global,Volcano Discovery,None,Text Data,No Information,2022,https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application
49,Volcanoes & Earthquakes Application,The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list. ,Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,Mobile App,Volcano,Global,Volcano Discovery,None,Text Data,No Information,2022,https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application
50,Beidou Navigation Satellite System,"The Beidou Navigation Satellite system is used to monitor natural disasters occurring in the Peoples Republic of China. In recent years, after natural disasters, such as forest fires, earthquakes and floods, communication networks were broken. This has a negative impact on communications and disaster recovery.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Data Collection, Geographical Information Systems",Various,China,China National Administration of GNSS and Applications,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/beidou-navigation-satellite-system
51,Beidou Navigation Satellite System,"The Beidou Navigation Satellite system is used to monitor natural disasters occurring in the Peoples Republic of China. In recent years, after natural disasters, such as forest fires, earthquakes and floods, communication networks were broken. This has a negative impact on communications and disaster recovery.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Data Collection, Geographical Information Systems",Various,China,China National Administration of GNSS and Applications,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/beidou-navigation-satellite-system
52,Nepal Government Geo-Portal,"Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,"Data Collection, Geographical Information Systems",Earthquakes,Global,"Government of Nepal, Open Data for Resilience Initiative",None,Spatial Data,No Information,2015,https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal
53,Nepal Government Geo-Portal,"Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,"Data Collection, Geographical Information Systems",Earthquakes,Global,"Government of Nepal, Open Data for Resilience Initiative",None,Spatial Data,No Information,2015,https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal
54,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.,Pacific Catastrophe Risk Assessment and Financing Initiative,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Data Collection,Various,Global,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative
55,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.,Pacific Catastrophe Risk Assessment and Financing Initiative,Risk Reduction,Situational awareness/actionable information gathering ,production,response,Data Collection,Various,Global,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative
56,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Various,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software
57,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,recovery,Geographical Information Systems,Various,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software
58,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,Geographical Information Systems,Various,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software
59,Pakistan Disaster Info Portal,"Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Data Collection,Various,Pakistan,"Global Facility for Disaster Reduction and recovery (GFDRR), World Bank, Department for International Development (DFID)",None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal
60,Pakistan Disaster Info Portal,"Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,Data Collection,Various,Pakistan,"Global Facility for Disaster Reduction and recovery (GFDRR), World Bank, Department for International Development (DFID)",None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal
61,Help Kids Cope Application,Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Various,Global,"Ozark Center, National Child Traumatic Stress Network",None,Text Data,No Information,2016,https://drrgateway.net/e-resilience/tool/help-kids-cope-application
62,Help Kids Cope Application,Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.,Risk Reduction,Situational awareness/actionable information gathering ,production,response,Mobile App,Various,Global,"Ozark Center, National Child Traumatic Stress Network",None,Text Data,No Information,2016,https://drrgateway.net/e-resilience/tool/help-kids-cope-application
63,GeoDASH Geospatial Data Platform Bangladesh,"GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Geographical Information Systems, Web Mapping",Various,Bangladesh,The Government of Bangladesh,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh
64,GeoDASH Geospatial Data Platform Bangladesh,"GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Geographical Information Systems, Web Mapping",Various,Bangladesh,The Government of Bangladesh,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh
65,GeoNet New Zealand Earthquake Application,"GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Mobile App,Earthquakes,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application
66,GeoNet New Zealand Earthquake Application,"GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Earthquakes,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application
67,GeoNet New Zealand Tsunami Warning System,The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Mobile App,Tsunamis,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system
68,GeoNet New Zealand Tsunami Warning System,The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Tsunamis,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system
69,Global Earthquake Model & OpenQuake Platform,The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Web mapping, Geographical Information Systems",Earthquakes,Global,Global Earthquake Model Foundation,None,Spatial Data,No Information,2019,https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform
70,Global Earthquake Model & OpenQuake Platform,The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.,Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Web mapping, Geographical Information Systems",Earthquakes,Global,Global Earthquake Model Foundation,None,Spatial Data,No Information,2019,https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform
71,EWBS Emergency Warning Broadcast System,The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.,Risk Reduction,Emergency communications ,production,preparedness,Geographical Information Systems,Various,Philippines,"National Telecommunications Commission (NTC), Philippines",None,None,No Information,2008,https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system
72,EWBS Emergency Warning Broadcast System,The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.,Risk Reduction,Emergency communications ,production,response,Geographical Information Systems,Various,Philippines,"National Telecommunications Commission (NTC), Philippines",None,None,No Information,2008,https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system
73,MyShake Earthquake Application,MyShake is a free app for Android smartphones that has the ability to recognize earthquake shaking using the sensors (such as the accelerometer) in every smartphone. The app runs 'silently' in the background of a phone using very little power.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Earthquakes,Global,Berkeley Seismology Lab,None,None,No Information,2021,https://drrgateway.net/e-resilience/tool/myshake-earthquake-application
74,Bhutan Forest Fire Detection and Monitoring System,"For Bhutan, there is a clear need for reliable and time-effective information on forest fires. To this regard, satellite imagery has found to be useful in fire detection and monitoring, and burnt area assessment on near real-time basis. To this regard, the International Centre for Integrated Mountain Development (ICIMOD) has developed a forest fire detection and monitoring system for Bhutan in close collaboration with the Department of Forests of Bhutan.",Disaster Risk Management,Damage and loss assessment ,production,recovery,Geographical Information Systems,Wildfires,Bhutan,International Centre for Integrated Mountain Development (ICIMOD),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/bhutan-forest-fire-detection-and-monitoring-system
75,South Asia Drought Monitoring System,"The South Asia Drought Monitoring System (SADMS) was established in 2014 and provides weekly maps that reflects drought conditions in South Asia. The system uses numerous drought indices, including the Integrated Drought severity Index and Soil Moisture Index, to monitor and assess drought conditions. The system and its outcomes are imperative to decision-making process.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Droughts,"Bangladesh, India, Nepal, Pakistan, Sri Lanka","International Water Management Institute (IWMI), Sri Lanka",None,Spatial Data,No Information,2014,https://drrgateway.net/e-resilience/tool/south-asia-drought-monitoring-system
76,Philippines Nationwide Operational Assessment of Hazards (NOAH),"The University of the Philippines Nationwide Operational Assessment of Hazards (UP-NOAH) is a multidisciplinary research center housed in the UP National Institute of Geological Sciences with the goal of helping reduce the impacts of hazards. It seeks to assist the country in disaster risk reduction and management, climate change adaptation and mitigation efforts and related activities through research, development and extension services.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Various,Philippines,University of the Philippines,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/philippines-nationwide-operational-assessment-hazards-noah
77,Arko Philippines Typhoon Application,"The Philippines is hit by several typhoons a year. Most of the time, these cause major flooding that can be a danger to people's life and livelihood. Against this backdrop, the smartphone application Arko aims to address the need of Filipino citizens for more information during times of major rains, typhoons and floods. By accessing the extensive databases of Project NOAH and DOST, Arko enables a user up-to-the-minute updates on rainfall and other weather conditions in close proximity or chosen location.",Risk Reduction,Emergency communications ,production,preparedness,Mobile App,Various,Philippines," Pointwest Technologies Corporation, NOAH",None,Spatial Data,No Information,2017,https://drrgateway.net/e-resilience/tool/arko-philippines-typhoon-application
78,Arko Philippines Typhoon Application,"The Philippines is hit by several typhoons a year. Most of the time, these cause major flooding that can be a danger to people's life and livelihood. Against this backdrop, the smartphone application Arko aims to address the need of Filipino citizens for more information during times of major rains, typhoons and floods. By accessing the extensive databases of Project NOAH and DOST, Arko enables a user up-to-the-minute updates on rainfall and other weather conditions in close proximity or chosen location.",Risk Reduction,Emergency communications ,production,response,Mobile App,Various,Philippines," Pointwest Technologies Corporation, NOAH",None,Spatial Data,No Information,2017,https://drrgateway.net/e-resilience/tool/arko-philippines-typhoon-application
79,Monster Guard Kids Mobile Application,"Monster Guard is a mobile application created by the American Red Cross that is designed specifically for kids with the aim of preparing them for disasters. Follow Maya, Chad, Olivia and all the monsters as they teach kids (aged 7-11) about how to prepare for real-life emergencies-at home plus other environments-in a fun and engaging game.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Various,United States of America,American Red Cross,None,None,No Information,2019,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/teaching-kids-about-emergency-preparedness.html/?subcode=monsterguard-retirement-lightbox
80,Mobile4D Disaster Alert System for Lao PDR,"In case of natural disasters such as floods and extreme weather, a fast and secure flow of information is essential for citizens to be able to cope with the situation. Mobile4D is a disaster information and alerting system based on smartphone technology to allow both for timely notification of affected stakeholders and easy and barrier-free crowdsourcing of disaster information on the local level in Lao PDR.",Risk Reduction,Disaster Risk Management,production,preparedness,"Mobile App, Crowdsourcing, Artificial Intelligence",Various,Lao People's Democratic Republic,"Capacity Lab, University of Bremen",None,None,No Information,No Information,https://drrgateway.net/e-resilience/tool/mobile4d-disaster-alert-system-lao-pdr 
81,Terai Cross-Border Flood Early Warning System,"Terai is a low-lying region in Northwestern India and Southern Nepal. For years, the area has been affected by recurring floods, resulting in loss of lives. Christian Aid, with its local partner Poorvanchal Gramin Vikas Sansthan (PGVS), initiated a pilot flood early warning system in the Terai region.",Risk Reduction,Disaster assessment/prediction and early warning systems ,prototype,response,"Artificial Intelligence, Remote Sensing",Floods,"India, Nepal",Christian Aid,None,None,No Information,2017,https://drrgateway.net/e-resilience/tool/terai-cross-border-flood-early-warning-system
82,Firetide Wireless Mesh Network Flood Monitoring,"Firetide, Inc., a provider of high-performance wireless infrastructure mesh networks, installed the world’s first mesh network capable of delivering live high-definition (HD) wireless video feeds of river water levels and telemetry data for real-time flood forecasting and historical data collection in Thailand.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,"Artificial Intelligence, Remote Sensing",Floods,Thailand,UNICOM,None,Numerical Data,No Information,2014,https://www.firetide.com/blog/firetide-wireless-mesh-network-helps-thailand-forecast-floods/
83,Firetide Wireless Mesh Network Flood Monitoring,"Firetide, Inc., a provider of high-performance wireless infrastructure mesh networks, installed the world’s first mesh network capable of delivering live high-definition (HD) wireless video feeds of river water levels and telemetry data for real-time flood forecasting and historical data collection in Thailand.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,"Artificial Intelligence, Remote Sensing",Floods,Thailand,UNICOM,None,Numerical Data,No Information,2014,https://www.firetide.com/blog/firetide-wireless-mesh-network-helps-thailand-forecast-floods/
84,Guidelines for Establishing Disaster Loss Databases,"This report documents the experiences of the UNDP Regional Programme on Capacity Building for Sustainable recovery and Risk Reduction in implementing disaster loss databases using the DesInventar methodology.  The DesInventar is based on a relational database structure and a disciplined expert assisted structure for data collection and classification that permits the homogeneous capture, analysis and graphic representation of information on disaster occurrences and losses. ",Disaster Risk Management,Damage and loss assessment ,production,recovery,"Data Collection, Data Analysis",Various,Global,"UNDP, UNDRR",UNDP Regional Centre in Bangkok,Spatial Data,No Information,2015,https://www.asia-pacific.undp.org/content/rbap/en/home/library/climate-and-disaster-resilience/guidelines-n-lessons-disaster-loss-database.html
85,Sai Fah Flood Game Application,"Sai Fah: The Flood Fighter is the first mobile application developed by UNESCO Bangkok and Opendream, was built to raise awareness around flood safety issues following the 2011 deluge in Thailand. The app challenges players of all ages, but particularly children, to learn how to protect themselves and those around them from floods. Players learn flood safety lessons as they encounter flood hazards, from live electrical current to dangerous wildlife.",Risk Reduction,Situational awareness,production,preparedness,Mobile App,Flood,Thailand,Opendream,UNESCO Bangkok,None,No Information,2015,https://drrgateway.net/e-resilience/tool/sai-fah-flood-game-application 
86,Google Person Finder Platform,Google Person Finder is a web application that allows individuals to post and search for the status of relatives or friends affected by a disaster.,Disaster Risk Management ,Seach and rescue,production,response,Remote sensing,Various,Global,Google,None,Mobile Network Data,No Information,2005,https://support.google.com/personfinder/?hl=en
87,DART Tsunami Forecasting System,"DART is composed of real-time tsunami monitoring systems that are positioned at strategic locations (including Australia, Guam, India, Russian Federation and Thailand) throughout the ocean and play a critical role in tsunami forecasting.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,"Data Collection, Remote Sensing",Hurricanes/Typhoons/Cyclones,"Australia, India, Russian Federation, Thailand, United States of America, Guam","United States National Oceanic and Atmospheric Administration (NOAA), Center for Tsunami Research",None,Numerical Data,No Information,2008,https://www.ndbc.noaa.gov/dart/dart.shtml
88,New Unesco game app Tanah: The Tsunami & Earthquake Fighter teaches children survival skills,"Tanah: Earthquake and Tsunami Fighter is a fun action packed game (mobile application) that makes learning about disaster risk reduction actions interesting and engaging for people of all ages, but particularly children. With more than 20 exciting and challenging stages, Tanah: The Tsunami and Earthquake Fighter, has been developed to engage users to learn how to protect themselves from earthquakes and tsunamis, providing key survival lessons for all phases of disaster – preparedness, response and recovery.",Risk Reduction,Situational awareness,production,preparedness,Mobile App,Tsunami,,"Red Cross/Red Crescent Global Disaster preparedness Center (GDPC), Opendream ",UNESCO Bangkok,None,No Information,2016,https://southeastasiaglobe.com/new-unesco-game-app-tanah-the-tsunami-earthquake-fighter-teaches-children-survival-skills/ 
89,Audio-Processing-Based Human Detection at Disaster Sites With Unmanned Aerial Vehicle,"The use of robots to search for people is expected to become an auxiliary tool for saving lives during a disaster. In particular, because UAVs can collect information from the air, there has been much research into human search using UAVs equipped with cameras. However, the disadvantage of cameras is that they struggle to detect people who are hidden in shadows. To solve this problem, we mounted an array microphone on a UAV and to detect the human voice as a means of finding people that cameras cannot. Also a search method is proposed that combines voice and camera human detection to compensate for their respective shortcomings. The rate and accuracy of human detection by the proposed method are assessed experimentally.",Disaster Risk Management ,Seach and rescue,prototype,response,Drones,Various,Global,None,None,Spatial Data,No Information,2020,https://ieeexplore.ieee.org/document/9104665
90,Deep-ocean Assessment and Reporting of Tsunamis (DART®) Description ,"DART is composed of real-time tsunami monitoring systems that are positioned at strategic locations (including Australia, Guam, India, Russian Federation and Thailand) throughout the ocean and play a critical role in tsunami forecasting. ",Risk Reduction,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Hurricanes/Typhoons/Cyclones,Global ,United States National Oceanic and Atmospheric Administration (NOAA)  ,None,Spatial Data,No Information,2021,https://www.ndbc.noaa.gov/dart/dart.shtml 
91,Deep-ocean Assessment and Reporting of Tsunamis (DART®) Description ,"DART is composed of real-time tsunami monitoring systems that are positioned at strategic locations (including Australia, Guam, India, Russian Federation and Thailand) throughout the ocean and play a critical role in tsunami forecasting. ",Risk Reduction,Disaster assessment/prediction and early warning systems  ,production,response,Geographical Information Systems ,Hurricanes/Typhoons/Cyclones,Global ,United States National Oceanic and Atmospheric Administration (NOAA)  ,None,Spatial Data,No Information,2021,https://www.ndbc.noaa.gov/dart/dart.shtml 
