"title","description","theme","use_case","status","disaster_cycle","technology","disaster_type","region","subregion","country","partner","un_host","data","sdg","date_of_implementation","source","img_url","id","uuid","created_at","updated_at"
"Crisis Mapping","Using the information from geotagged Twitter messages and other mappable content from hundreds of other online sources, volunteers created an interactive map (Ushahidi Platform) with the information on the damaged areas during Haiti earthquake","Situational Awareness","Damage and loss assessment","prototype","mitigation","Geographical Information Systems","Various","Global","Global","Global","U.S. Coast Guard,the American Red Cross,and the U.S. Marine Corps.","None","Spatial Data","No Information","2010","https://www.dhs.gov/sites/default/files/publications/Social-Media-EM_0913-508_0.pdf","https://www.dhs.gov/sites/default/files/images/st/FRG/SAVER.jpg","42","f78f31d0-8eda-4640-bcf2-e666405eea8f","2023-07-11T09:14:24.363184+00:00",""
"Cholera outbreaks predicted using climate data and AI","Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.","Disease Prediction","Disaster assessment/prediction and early warning systems","production","preparedness","Geographical Information Systems","Pandemic/Epidemic","Asia","Southern Asia","India","ESA","None","Spatial Data","No Information","2020","https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera.","https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2020/12/medical_lab/22393483-1-eng-GB/Medical_lab_pillars.jpg","43","00437fd8-431e-41ff-b708-ceffe3e17e4a","2023-07-11T09:14:24.363184+00:00",""
"Cholera outbreaks predicted using climate data and AI","Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.","Disease Prediction","Disaster assessment/prediction and early warning systems","production","response","Geographical Information Systems","Pandemic/Epidemic","Asia","Southern Asia","India","ESA","None","Spatial Data","No Information","2020","https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera.","https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2020/12/medical_lab/22393483-1-eng-GB/Medical_lab_pillars.jpg","44","f98c1bc4-60c7-4129-b79c-735a913bb0ac","2023-07-11T09:14:24.363184+00:00",""
"I-react","I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record","Monitoring System","Emergency communications","production","preparedness","Mobile App","Various","Europe","Eastern Europe,Southern Europe,Northern Europe,Western Europe","EU countries","EU,Istituto Superiore Mario Boella (ISMB),Joint Research Centre,Scienceseed and others","UNESCO","Spatial Data,Text Data","No Information","2019","https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services","https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg","45","75fe682f-ba5d-4dc4-9183-29e36ed1f7f1","2023-07-11T09:14:24.363184+00:00",""
"I-react","I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record","Monitoring System","Emergency communications","production","recovery","Mobile App","Various","Europe","Eastern Europe,Southern Europe,Northern Europe,Western Europe","EU countries","EU,Istituto Superiore Mario Boella (ISMB),Joint Research Centre,Scienceseed and others","UNESCO","Spatial Data,Text Data","No Information","2019","https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services","https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg","46","6c310548-ee5c-4c04-bd09-4006a9c7a45c","2023-07-11T09:14:24.363184+00:00",""
"I-react","I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record","Monitoring System","Emergency communications","production","response","Mobile App","Various","Europe","Eastern Europe,Southern Europe,Northern Europe,Western Europe","EU countries","EU,Istituto Superiore Mario Boella (ISMB),Joint Research Centre,Scienceseed and others","UNESCO","Spatial Data,Text Data","No Information","2019","https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services","https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg","47","36215627-25b0-4fd6-b3bf-6398ef59df85","2023-07-11T09:14:24.363184+00:00",""
"Earthquake Scenarios Project","Using GIS software the project produced a deterministic assessment of seismic risk. The model estimated the potential population losses, damages and other risks which allowed to produce acurate DRR plan.","Disaster Risk Management","Disaster assessment/prediction and early warning systems","production","mitigation ","Geographical Information Systems","Earthquakes","Asia","Western Asia","Armenia","National Academy of Science,Ministry of Emergency and Georisk","UNDP,UNDP Armenia","Spatial Data","No Information","2019","https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html","https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1258783-UNDP%20Brochure%20Early%20Warning%20Systems.png?itok=WmUyWBX6","48","1375431f-f3da-43ab-8a0e-0b55d3180ecb","2023-07-11T09:14:24.363184+00:00",""
"Volcanoes & Earthquakes Application","The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list.","Disaster Risk Management","Situational awareness/actionable information gathering","production","preparedness","Mobile App","Volcanos","Global","Global","Global","Volcano Discovery","None","Text Data","No Information","2022","https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/volcano-earthquake-application-discovery.jpg","49","b8c432c1-525c-43bf-8eaa-88a3f2f89d49","2023-07-11T09:14:24.363184+00:00",""
"Volcanoes & Earthquakes Application","The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list.","Disaster Risk Management","Situational awareness/actionable information gathering","production","response","Mobile App","Volcanos","Global","Global","Global","Volcano Discovery","None","Text Data","No Information","2022","https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/volcano-earthquake-application-discovery.jpg","50","4055d5a8-57e2-45e8-b3fc-73978c868748","2023-07-11T09:14:24.363184+00:00",""
"Beidou Navigation Satellite System","The Beidou Navigation Satellite system is used to monitor natural disasters occurring in the Peoples Republic of China. In recent years, after natural disasters, such as forest fires, earthquakes and floods, communication networks were broken. This has a negative impact on communications and disaster recovery.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Data Collection,Geographical Information Systems","Various","Asia","Eastern Asia","China","China National Administration of GNSS and Applications","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/beidou-navigation-satellite-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/beidou-navigation-satellite-system-e-resilience.jpg","51","fc2078a9-128c-4235-9bc0-a741471f2a45","2023-07-11T09:14:24.363184+00:00",""
"Nepal Government Geo-Portal","Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.","Disaster Risk Management","Situational awareness/actionable information gathering","production","preparedness","Data Collection,Geographical Information Systems","Earthquakes","Global","Global","Global","Government of Nepal,Open Data for Resilience Initia","None","Spatial Data","No Information","2015","https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/drought-map-nepal-e-resilience.jpg","53","8b251bbc-2180-4a28-88b5-9fc80d41215a","2023-07-11T09:14:24.363184+00:00",""
"Nepal Government Geo-Portal","Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.","Disaster Risk Management","Situational awareness/actionable information gathering","production","response","Data Collection,Geographical Information Systems","Earthquakes","Global","Global","Global","Government of Nepal,Open Data for Resilience Initia","None","Spatial Data","No Information","2015","https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/drought-map-nepal-e-resilience.jpg","54","7d7cf123-1376-4640-aa83-0b29536a4792","2023-07-11T09:14:24.363184+00:00",""
"The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)","The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Data Collection","Various","Global","Global","Global","The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pcrafi-pacific-portal-e-resilience.jpg","55","a1c68e79-600b-44d5-b058-242957990229","2023-07-11T09:14:24.363184+00:00",""
"The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)","The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Data Collection","Various","Global","Global","Global","The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pcrafi-pacific-portal-e-resilience.jpg","56","6e7dc693-2b95-41e2-b22f-ed79cf1ea5ab","2023-07-11T09:14:24.363184+00:00",""
"InaSAFE Hazard Impact Scenario Software","InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Geographical Information Systems","Various","Asia","South-eastern Asia","Indonesia","Indonesian Government-BNPB,the Australian Government,the World Bank-GFDRR and independent contributors","None","Spatial Data","No Information","2018","https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg","57","0cee9cea-eb2d-4a1b-a532-8bff950fb764","2023-07-11T09:14:24.363184+00:00",""
"InaSAFE Hazard Impact Scenario Software","InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.","Risk Reduction","Situational awareness/actionable information gathering","production","recovery","Geographical Information Systems","Various","Asia","South-eastern Asia","Indonesia","Indonesian Government-BNPB,the Australian Government,the World Bank-GFDRR and independent contributors","None","Spatial Data","No Information","2018","https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg","58","a583b845-ae52-43fc-a0c5-dade720d7828","2023-07-11T09:14:24.363184+00:00",""
"Aqueduct Global Flood Risk Maps","Provides current and future river flood risk estimates in urban damage, affected GDP, and affected population by country, river basin, and state","Disaster Risk Management,Early Warning","Situational awareness/actionable information gathering","production","preparedness","Web Mapping","Various","Global","Global","Global","World Resources Institute","None","Spatial Data","SDG 13","2015","https://www.wri.org/data/aqueduct-global-flood-risk-maps","https://www.wri.org/sites/default/files/wri-40-anniversary-logo.svg","186","2be3dd7a-58ec-4ee5-b828-7f2a7ebd5bb5","2023-07-11T09:14:28.714411+00:00",""
"InaSAFE Hazard Impact Scenario Software","InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Geographical Information Systems","Various","Asia","South-eastern Asia","Indonesia","Indonesian Government-BNPB,the Australian Government,the World Bank-GFDRR and independent contributors","None","Spatial Data","No Information","2018","https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg","59","1cd0f4fe-df03-48b3-86e6-26d51874c441","2023-07-11T09:14:24.363184+00:00",""
"Pakistan Disaster Info Portal","Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Data Collection","Various","Asia","Southern Asia","Pakistan","Global Facility for Disaster Reduction and recovery (GFDRR),World Bank,Department for International Development (DFID)","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pakistan-gfdrr-e-resilience-platform-disaster-info.jpg","60","76e426c6-09c7-42df-9c74-6e8d4ec05354","2023-07-11T09:14:24.363184+00:00",""
"Pakistan Disaster Info Portal","Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Data Collection","Various","Asia","Southern Asia","Pakistan","Global Facility for Disaster Reduction and recovery (GFDRR),World Bank,Department for International Development (DFID)","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pakistan-gfdrr-e-resilience-platform-disaster-info.jpg","61","5307bb52-bba8-4f63-85bc-1b3dbfea9de0","2023-07-11T09:14:24.363184+00:00",""
"Help Kids Cope Application","Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Mobile App","Various","Global","Global","Global","Ozark Center,National Child Traumatic Stress Network","None","Text Data","No Information","2016","https://drrgateway.net/e-resilience/tool/help-kids-cope-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/iphone-app-kids-cope-e-resilience.jpg","62","90f08d27-6443-48e9-a727-4661ee53909e","2023-07-11T09:14:24.363184+00:00",""
"Help Kids Cope Application","Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Mobile App","Various","Global","Global","Global","Ozark Center,National Child Traumatic Stress Network","None","Text Data","No Information","2016","https://drrgateway.net/e-resilience/tool/help-kids-cope-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/iphone-app-kids-cope-e-resilience.jpg","63","1913df74-dd9d-417d-95cf-a4a40059cdee","2023-07-11T09:14:24.363184+00:00",""
"GeoDASH","GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Geographical Information Systems,Web Mapping","Various","Asia","Southern Asia","Bangladesh","The Government of Bangladesh","None","Spatial Data","No Information","2016","https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geodash-e-resilience-bangladesh-platform.jpg","64","2452cc61-3a0c-4591-9f4c-a12bd51cf821","2023-07-11T09:14:24.363184+00:00",""
"GeoDASH","GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Geographical Information Systems,Web Mapping","Various","Asia","Southern Asia","Bangladesh","The Government of Bangladesh","None","Spatial Data","No Information","2016","https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geodash-e-resilience-bangladesh-platform.jpg","65","1d846772-b0ec-4b7e-acc8-747c0947e532","2023-07-11T09:14:24.363184+00:00",""
"GeoNet New Zealand Earthquake Application","GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.","Risk Reduction","Disaster assessment/prediction and early warning systems","production","preparedness","Mobile App","Earthquakes","Oceania","Australia and New Zealand","New Zealand","Ministry of Civil Defence and Emergency Management,New Zealand","None","Spatial Data","No Information","2021","https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg","66","d32f1949-ecea-44b5-85ae-0295c2c619be","2023-07-11T09:14:24.363184+00:00",""
"GeoNet New Zealand Earthquake Application","GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.","Risk Reduction","Disaster assessment/prediction and early warning systems","production","response","Mobile App","Earthquakes","Oceania","Australia and New Zealand","New Zealand","Ministry of Civil Defence and Emergency Management,New Zealand","None","Spatial Data","No Information","2021","https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg","67","9f3bf4d4-3269-4cb1-ae6f-42e1e5ceba15","2023-07-11T09:14:24.363184+00:00",""
"GeoNet New Zealand Tsunami Warning System","The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.","Risk Reduction","Disaster assessment/prediction and early warning systems","production","preparedness","Mobile App","Tsunamis","Oceania","Australia and New Zealand","New Zealand","Ministry of Civil Defence and Emergency Management,New Zealand","None","Spatial Data","No Information","2021","https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg","68","2f235e5f-f8a2-4cf7-be6c-237ae6ae6cf7","2023-07-11T09:14:24.363184+00:00",""
"GeoNet New Zealand Tsunami Warning System","The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.","Risk Reduction","Disaster assessment/prediction and early warning systems","production","response","Mobile App","Tsunamis","Oceania","Australia and New Zealand","New Zealand","Ministry of Civil Defence and Emergency Management,New Zealand","None","Spatial Data","No Information","2021","https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg","69","dee789b5-8642-4e14-a23a-f96cfded69f2","2023-07-11T09:14:24.363184+00:00",""
"Global Earthquake Model & OpenQuake Platform","The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Web mapping,Geographical Information Systems","Earthquakes","Global","Global","Global","Global Earthquake Model Foundation","None","Spatial Data","No Information","2019","https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/openquake-e-resilience-platform.jpg","70","47a5c2c8-caaf-428d-98a5-ced5d8683bb6","2023-07-11T09:14:24.363184+00:00",""
"Global Earthquake Model & OpenQuake Platform","The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.","Risk Reduction","Situational awareness/actionable information gathering","production","response","Web mapping,Geographical Information Systems","Earthquakes","Global","Global","Global","Global Earthquake Model Foundation","None","Spatial Data","No Information","2019","https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/openquake-e-resilience-platform.jpg","71","5d793d28-39b9-4b96-8afe-8012838c8ade","2023-07-11T09:14:24.363184+00:00",""
"EWBS Emergency Warning Broadcast System","The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.","Risk Reduction","Emergency communications","production","preparedness","Geographical Information Systems","Various","Asia","South-eastern Asia","Philippines","National Telecommunications Commission (NTC),Philippines","None","None","No Information","2008","https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/radio-1475054_1280.jpg","72","b9ebd4bf-b39a-49b2-ae29-3993751a2ea2","2023-07-11T09:14:24.363184+00:00",""
"EWBS Emergency Warning Broadcast System","The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.","Risk Reduction","Emergency communications","production","response","Geographical Information Systems","Various","Asia","South-eastern Asia","Philippines","National Telecommunications Commission (NTC),Philippines","None","None","No Information","2008","https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/radio-1475054_1280.jpg","73","087fd367-7803-4d39-9e6c-c92ad912a350","2023-07-11T09:14:24.363184+00:00",""
"MyShake Earthquake Application","MyShake is a free app for Android smartphones that has the ability to recognize earthquake shaking using the sensors (such as the accelerometer) in every smartphone. The app runs 'silently' in the background of a phone using very little power.","Risk Reduction","Disaster assessment/prediction and early warning systems","production","response","Mobile App","Earthquakes","Global","Global","Global","Berkeley Seismology Lab","None","None","No Information","2021","https://drrgateway.net/e-resilience/tool/myshake-earthquake-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-03/myshake-image.jpg","74","1d049803-d458-40f3-8436-c9a2609fcea9","2023-07-11T09:14:24.363184+00:00",""
"Bhutan Forest Fire Detection and Monitoring System","For Bhutan, there is a clear need for reliable and time-effective information on forest fires. To this regard, satellite imagery has found to be useful in fire detection and monitoring, and burnt area assessment on near real-time basis. To this regard, the International Centre for Integrated Mountain Development (ICIMOD) has developed a forest fire detection and monitoring system for Bhutan in close collaboration with the Department of Forests of Bhutan.","Disaster Risk Management","Damage and loss assessment","production","recovery","Geographical Information Systems","Wildfires","Asia","Southern Asia","Bhutan","International Centre for Integrated Mountain Development (ICIMOD)","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/bhutan-forest-fire-detection-and-monitoring-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/bhutan-forest-fire-dection-monitoring-system.jpg","75","d4c47aed-9d87-4abb-ab47-be4dfc5d6966","2023-07-11T09:14:24.363184+00:00",""
"South Asia Drought Monitoring System","The South Asia Drought Monitoring System (SADMS) was established in 2014 and provides weekly maps that reflects drought conditions in South Asia. The system uses numerous drought indices, including the Integrated Drought severity Index and Soil Moisture Index, to monitor and assess drought conditions. The system and its outcomes are imperative to decision-making process.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Geographical Information Systems","Droughts","Asia","Southern Asia","Bangladesh,India,Nepal,Pakistan,Sri Lanka","International Water Management Institute (IWMI),Sri Lanka","None","Spatial Data","No Information","2014","https://drrgateway.net/e-resilience/tool/south-asia-drought-monitoring-system","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/south-asia-drought-monitoring-system-e-resilience.jpg","76","c62183ad-9b9d-4b8b-922c-391087165b25","2023-07-11T09:14:24.363184+00:00",""
"Philippines Nationwide Operational Assessment of Hazards (NOAH)","The University of the Philippines Nationwide Operational Assessment of Hazards (UP-NOAH) is a multidisciplinary research center housed in the UP National Institute of Geological Sciences with the goal of helping reduce the impacts of hazards. It seeks to assist the country in disaster risk reduction and management, climate change adaptation and mitigation efforts and related activities through research, development and extension services.","Risk Reduction","Situational awareness/actionable information gathering","production","preparedness","Geographical Information Systems","Various","Asia","South-eastern Asia","Philippines","University of the Philippines","None","Spatial Data","No Information","No Information","https://drrgateway.net/e-resilience/tool/philippines-nationwide-operational-assessment-hazards-noah","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/noah-philippines-e-resilience.jpg","77","d3be0b16-31c4-4846-9c31-1321b7e78429","2023-07-11T09:14:24.363184+00:00",""
"Arko Philippines Typhoon Application","The Philippines is hit by several typhoons a year. Most of the time, these cause major flooding that can be a danger to people's life and livelihood. Against this backdrop, the smartphone application Arko aims to address the need of Filipino citizens for more information during times of major rains, typhoons and floods. By accessing the extensive databases of Project NOAH and DOST, Arko enables a user up-to-the-minute updates on rainfall and other weather conditions in close proximity or chosen location.","Risk Reduction","Emergency communications","production","preparedness","Mobile App","Various","Asia","South-eastern Asia","Philippines","Pointwest Technologies Corporation,NOAH","None","Spatial Data","No Information","2017","https://drrgateway.net/e-resilience/tool/arko-philippines-typhoon-application","https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/arko-application-e-resilience-philippines.jpg","78","5a816304-0eb6-4c84-bfde-94f2356fa32c","2023-07-11T09:14:24.363184+00:00",""
"Robotics for Good","ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.","Disaster Risk Management","Emergency communications","validation ","response","Artificial Intelligence,Remote sensing","Various","Global","Global","Global","ITU","UNECE","None","SDG 9,SDG 11,SDG 17","2021","https://aiforgood.itu.int/meet-the-future-robots-for-good/","https://s41721.pcdn.co/wp-content/uploads/2021/12/1-1130x650.jpg","93","d2c1849f-06d8-4def-87cd-4bb551285599","2023-07-11T09:14:24.363184+00:00",""
