,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Region,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source,imgurl
32,Floods in Sudan - Space-based Flood Monitoring to Support Disaster Risk Management,"Floods lead to the highest number of people affected compared to other disasters as they affect human activities and the economy. Sudan was affected due to large floods partly caused by torrential rainfall in the Ethiopian Highlands. In the case of the Sudanese flood event, a timely response is needed for stakeholders to assess the situation. High resolution monitoring helps to identify areas at risk and information on the people and cropland. Geospatial analysis was conducted based on the identified floods areas. ","Disaster Risk Management, EWS",Disaster detection ,production,mitigation,"Web mapping, Geographical Information Systems, Remote sensing",Floods,Africa,Sudan,Ministry of Agriculture and Natural Resources of Sudan,UNOOSA (The United Nations Office for Outer Space Affairs),Spatial Data,"SDG 1, SDG 2, SDG 13, SDG 15",2020,https://www.space4water.org/news/floods-sudan-space-based-flood-monitoring-support-disaster-risk-management ,https://www.space4water.org/s4w/web/sites/default/files/inline-images/MainImage_PleiadesbyCNES160820.jpg
33,The SKAI isn’t the limit: How WFP uses satellite imagery and machine learning in emergencies.,"A lack of on-the-ground information at the start of a humanitarian crisis is a major obstacle to a quick, effective response. The WFP partnered with Google Research to set up the SKAI platform. Skai (formerly known as RUDA) uses Artificial Intelligence (AI) and satellites to help WFP reduce the amount of time needed to understand the impact of disasters. By using Artificial Intelligence (AI) to analyze images provided by satellites, WFP can respond to emergencies without the delays and logistics obstacles associated with a traditional response. Skai dramatically speeds up the process of determining what has happened, what to expect on the ground, and help define the kind of support that is required.  ",Disaster Risk Management,Disaster relief logistic/resource allocation ,production,response,"Artificial Intelligence, Machine Learning, Geographical Information Systems",Various,Global,Global,Google Research,WFP,Spatial Data,SDG 13,2021,https://wfpinnovation.medium.com/the-skai-isnt-the-limit-how-wfp-uses-satellite-imagery-and-machine-learning-in-emergencies-b5c866ace186 ,https://miro.medium.com/max/1400/0*nvO60Aq7ny2r1Gwu
34,Artificial Intelligence Weather Chatbot,"The Chatbot directly interacts with users through the Facebook Messenger app giving weather related information.
The potential of this tool is what lends itself to e-resilience - application of AI through simple messaging services to provide weather related information which can potentially save lives and reduces damages to property. ",Early Warning,Situational awareness/actionable information gathering ,prototype,preparedness,Chatbot,Various,Asia,Singapore,RobustTechHouse (private company),None,Text Data,No Information,No Information,https://bit.ly/3sTk2ia,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/singapore-skyline-200679_1280.jpg
35,Artificial Intelligence Weather Chatbot,"The Chatbot directly interacts with users through the Facebook Messenger app giving weather related information.
The potential of this tool is what lends itself to e-resilience - application of AI through simple messaging services to provide weather related information which can potentially save lives and reduces damages to property. ",Early Warning,Situational awareness/actionable information gathering ,prototype,recovery,Chatbot,Various,Asia,Singapore,RobustTechHouse (private company),None,Text Data,No Information,No Information,https://bit.ly/3sTk2ia,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/singapore-skyline-200679_1280.jpg
36,Artificial Intelligence Weather Chatbot,"The Chatbot directly interacts with users through the Facebook Messenger app giving weather related information.
The potential of this tool is what lends itself to e-resilience - application of AI through simple messaging services to provide weather related information which can potentially save lives and reduces damages to property. ",Early Warning,Situational awareness/actionable information gathering ,prototype,response,Chatbot,Various,Asia,Singapore,RobustTechHouse (private company),None,Text Data,No Information,No Information,https://bit.ly/3sTk2ia,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/singapore-skyline-200679_1280.jpg
37,Artificial Intelligence Weather Chatbot,"The Chatbot directly interacts with users through the Facebook Messenger app giving weather related information.
The potential of this tool is what lends itself to e-resilience - application of AI through simple messaging services to provide weather related information which can potentially save lives and reduces damages to property. ",Early Warning,Situational awareness/actionable information gathering ,prototype,mitigation,Chatbot,Various,Asia,Singapore,RobustTechHouse (private company),None,Text Data,No Information,No Information,https://bit.ly/3sTk2ia,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/singapore-skyline-200679_1280.jpg
38,PRISM: Using data to save lives when disasters strike,"When natural disasters strike, rescue services need to know where people are most at risk. The last population census in the former Yugoslav Republic of Macedonia was carried out in 2002, leaving a major gap in population data. This gap can create serious problems during emergencies. For example, during a winter storm in 2012, rescue helicopters were dispatched to remote villages only to discover that nobody was there. Having real-time tools in place could help capture the population’s mobility and ensure that those most-at risk are reached on time. UNDP and the former Yugoslav Republic of Macedonia Crisis Management Center have recently completed integrated risk and hazard assessments in each of the 81 municipalities in the country. Using mobile data to complement all this work seemed the natural next step. The way people use mobile phones provides insights into patterns of behaviour on the ground that can be life-saving. The team set out to study whether mobile phone calls could serve as proxy indicators for people’s mobility, as well as to understand how men and women use mobile phones differently (for clues into their diverse levels of vulnerability based on sex-disaggregated data).",EWS,Disaster relief logistic/resource allocation ,production,response,Mobile App,Various,Asia,Cambodia ,"WFP, Cambodia’s National Committee for Disaster Management",WFP Innovation Accelerator,Text Data,No Information,2018,https://medium.com/world-food-programme-insight/prism-using-data-to-save-lives-in-cambodia-9607ebde5e21,https://miro.medium.com/max/1400/1*tszoPbwOGexrjfwcWVMt4g.jpeg
39,PRISM: Using data to save lives when disasters strike,"When natural disasters strike, rescue services need to know where people are most at risk. The last population census in the former Yugoslav Republic of Macedonia was carried out in 2002, leaving a major gap in population data. This gap can create serious problems during emergencies. For example, during a winter storm in 2012, rescue helicopters were dispatched to remote villages only to discover that nobody was there. Having real-time tools in place could help capture the population’s mobility and ensure that those most-at risk are reached on time. UNDP and the former Yugoslav Republic of Macedonia Crisis Management Center have recently completed integrated risk and hazard assessments in each of the 81 municipalities in the country. Using mobile data to complement all this work seemed the natural next step. The way people use mobile phones provides insights into patterns of behaviour on the ground that can be life-saving. The team set out to study whether mobile phone calls could serve as proxy indicators for people’s mobility, as well as to understand how men and women use mobile phones differently (for clues into their diverse levels of vulnerability based on sex-disaggregated data).",EWS,Disaster relief logistic/resource allocation ,production,recovery,Mobile App,Various,Asia,Cambodia ,"WFP, Cambodia’s National Committee for Disaster Management",WFP Innovation Accelerator,Text Data,No Information,2018,https://medium.com/world-food-programme-insight/prism-using-data-to-save-lives-in-cambodia-9607ebde5e21,https://miro.medium.com/max/1400/1*tszoPbwOGexrjfwcWVMt4g.jpeg
40,Crisis Mapping: Open source interactive mapping solution,"Using the information from geotagged Twitter messages and other mappable content from hundreds of other online sources, volunteers created an interactive map (Ushahidi Platform) with the information on the damaged areas during Haiti earthquake",Situational Awareness,Damage and loss assessment ,prototype,recovery,Geographical Information Systems,Various,Global,Global,"U.S. Coast Guard, the American Red Cross, and the U.S. Marine Corps. ",None,Spatial Data,No Information,2010,https://www.dhs.gov/sites/default/files/publications/Social-Media-EM_0913-508_0.pdf,https://www.dhs.gov/sites/default/files/images/st/FRG/SAVER.jpg
41,Crisis Mapping: Open source interactive mapping solution,"Using the information from geotagged Twitter messages and other mappable content from hundreds of other online sources, volunteers created an interactive map (Ushahidi Platform) with the information on the damaged areas during Haiti earthquake",Situational Awareness,Damage and loss assessment ,prototype,mitigation,Geographical Information Systems,Various,Global,Global,"U.S. Coast Guard, the American Red Cross, and the U.S. Marine Corps. ",None,Spatial Data,No Information,2010,https://www.dhs.gov/sites/default/files/publications/Social-Media-EM_0913-508_0.pdf,https://www.dhs.gov/sites/default/files/images/st/FRG/SAVER.jpg
42,Cholera outbreaks predicted using climate data and AI,"Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.",Disease Prediction,Disaster assessment/prediction and early warning systems ,production,preparedness,Geographical Information Systems,Pandemic/Epidemic,Asia,India,ESA,None,Spatial Data,No Information,2020,"https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera.",https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2020/12/medical_lab/22393483-1-eng-GB/Medical_lab_pillars.jpg
43,Cholera outbreaks predicted using climate data and AI,"Climate data taken from Earth orbiting satellites, combined with machine learning techniques, are helping to better predict outbreaks of cholera and potentially save lives.",Disease Prediction,Disaster assessment/prediction and early warning systems ,production,response,Geographical Information Systems,Pandemic/Epidemic,Asia,India,ESA,None,Spatial Data,No Information,2020,"https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Cholera_outbreaks_predicted_using_climate_data_and_AI#:~:text=A%20new%20study%20shows%20how,surface%20salinity%20for%20forecasting%20cholera.",https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2020/12/medical_lab/22393483-1-eng-GB/Medical_lab_pillars.jpg
44,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,preparedness,Mobile App,Various,Europe,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services,https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg
45,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,recovery,Mobile App,Various,Europe,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services,https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg
46,I-react: Emergency management data coming from multiple sources,"I-REACT is the result of a three-year European Project that developed the first European-wide platform to integrate emergency management data coming from multiple sources, including that provided by citizens through social media and crowdsourcing. This way, I-react produces information faster and allow citizens, civil protection services and policymakers to effectively prevent and/or react against disasters. I-REACT integrates big data with information for danger forecast services, crowdsourced information, UAVs and wearables, satellite data and historical record",Monitoring System,Emergency communications ,production,response,Mobile App,Various,Europe,EU countries,"EU, Istituto Superiore Mario Boella (ISMB), Joint Research Centre, Scienceseed and others",UNESCO,"Spatial Data, Text Data",No Information,2019,https://cordis.europa.eu/article/id/247441-crowdsourcing-emergency-management-services,https://cordis.europa.eu/docs/results/images/2019-01/247441.jpg
47,Earthquake Scenarios Project,"Using GIS software the project produced a deterministic assessment of seismic risk. The model estimated the potential population losses, damages and other risks which allowed to produce acurate DRR plan.",Disaster Risk Management,Disaster assessment/prediction and early warning systems ,production,mitigation ,Geographical Information Systems,Earthquakes,Asia,Armenia,"National Academy of Science, Ministry of Emergency and Georisk",UNDP Armenia,Spatial Data,No Information,2019,https://www.eurasia.undp.org/content/rbec/en/home/library/environment_energy/five-approaches-to-build-functional-early-warning-systems.html,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1258783-UNDP%20Brochure%20Early%20Warning%20Systems.png?itok=WmUyWBX6
48,Volcanoes & Earthquakes Application,The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list. ,Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Volcanos,Global,Global,Volcano Discovery,None,Text Data,No Information,2022,https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/volcano-earthquake-application-discovery.jpg
49,Volcanoes & Earthquakes Application,The Volcanoes & Earthquakes smartphone application shows the latest earthquakes and active volcanoes on a map and as list. ,Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,Mobile App,Volcanos,Global,Global,Volcano Discovery,None,Text Data,No Information,2022,https://drrgateway.net/e-resilience/tool/volcanoes-earthquakes-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/volcano-earthquake-application-discovery.jpg
50,Beidou Navigation Satellite System,"The Beidou Navigation Satellite system is used to monitor natural disasters occurring in the Peoples Republic of China. In recent years, after natural disasters, such as forest fires, earthquakes and floods, communication networks were broken. This has a negative impact on communications and disaster recovery.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Data Collection, Geographical Information Systems",Various,Asia,China,China National Administration of GNSS and Applications,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/beidou-navigation-satellite-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/beidou-navigation-satellite-system-e-resilience.jpg
51,Beidou Navigation Satellite System,"The Beidou Navigation Satellite system is used to monitor natural disasters occurring in the Peoples Republic of China. In recent years, after natural disasters, such as forest fires, earthquakes and floods, communication networks were broken. This has a negative impact on communications and disaster recovery.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Data Collection, Geographical Information Systems",Various,Asia,China,China National Administration of GNSS and Applications,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/beidou-navigation-satellite-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/beidou-navigation-satellite-system-e-resilience.jpg
52,Nepal Government Geo-Portal,"Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,"Data Collection, Geographical Information Systems",Earthquakes,Global,Global,"Government of Nepal, Open Data for Resilience Initiative",None,Spatial Data,No Information,2015,https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/drought-map-nepal-e-resilience.jpg
53,Nepal Government Geo-Portal,"Nepal is a landlocked country in South Asia that is highly vulnerable to earthquakes. In order to better understand seismic risk and build resilience, the World Bank and GFDRR, in collaboration with the Government of Nepal and the Open Data for Resilience Initiative have provided a data sharing portal that offers maps and map layers relevant to disaster risk management.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,"Data Collection, Geographical Information Systems",Earthquakes,Global,Global,"Government of Nepal, Open Data for Resilience Initiative",None,Spatial Data,No Information,2015,https://drrgateway.net/e-resilience/tool/nepal-government-geo-portal,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/drought-map-nepal-e-resilience.jpg
54,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.,Pacific Catastrophe Risk Assessment and Financing Initiative,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Data Collection,Various,Global,Global,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pcrafi-pacific-portal-e-resilience.jpg
55,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI) aims to provide the Pacific Island Countries (PICs) with disaster risk modeling and assessment tools. It also aims to engage in a dialogue with the PICs on integrated financial solutions for the reduction of their financial vulnerability to natural disasters and to climate change. The initiative is part of the broader agenda on disaster risk management and climate change adaptation in the Pacific region.,Pacific Catastrophe Risk Assessment and Financing Initiative,Risk Reduction,Situational awareness/actionable information gathering ,production,response,Data Collection,Various,Global,Global,The Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pacific-catastrophe-risk-assessment-and-financing-initiative,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pcrafi-pacific-portal-e-resilience.jpg
56,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Various,Asia,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg
57,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,recovery,Geographical Information Systems,Various,Asia,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg
58,InaSAFE Hazard Impact Scenario Software,"InaSAFE is free software that produces realistic natural hazard impact scenarios for better planning, preparedness and response activities. It provides a simple but rigorous way to combine data from scientists, local governments and communities to provide insights into the likely impacts of future disaster events.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,Geographical Information Systems,Various,Asia,Indonesia,"Indonesian Government-BNPB, the Australian Government, the World Bank-GFDRR and independent contributors",None,Spatial Data,No Information,2018,https://drrgateway.net/e-resilience/tool/inasafe-hazard-impact-scenario-software,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/inasafe-screen-image-jpg.jpg
59,Pakistan Disaster Info Portal,"Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Data Collection,Various,Asia,Pakistan,"Global Facility for Disaster Reduction and recovery (GFDRR), World Bank, Department for International Development (DFID)",None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pakistan-gfdrr-e-resilience-platform-disaster-info.jpg
60,Pakistan Disaster Info Portal,"Pakistan Disaster Info is a nationally owned, open source data platform that aims to enable the mandated agencies to share their geospatial datasets and maps on hazards and exposure. In order to ensure that risk information is widely accessible to all decision makers, this platform will also host newly developed datasets, hazard and risk information.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,Data Collection,Various,Asia,Pakistan,"Global Facility for Disaster Reduction and recovery (GFDRR), World Bank, Department for International Development (DFID)",None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/pakistan-disaster-info-portal,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/pakistan-gfdrr-e-resilience-platform-disaster-info.jpg
61,Help Kids Cope Application,Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Various,Global,Global,"Ozark Center, National Child Traumatic Stress Network",None,Text Data,No Information,2016,https://drrgateway.net/e-resilience/tool/help-kids-cope-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/iphone-app-kids-cope-e-resilience.jpg
62,Help Kids Cope Application,Help Kids Cope is a smartphone application designed to assist parents in talking to their children about different disasters they may experience or have already experienced.,Risk Reduction,Situational awareness/actionable information gathering ,production,response,Mobile App,Various,Global,Global,"Ozark Center, National Child Traumatic Stress Network",None,Text Data,No Information,2016,https://drrgateway.net/e-resilience/tool/help-kids-cope-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/iphone-app-kids-cope-e-resilience.jpg
63,GeoDASH Geospatial Data Platform Bangladesh,"GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Geographical Information Systems, Web Mapping",Various,Asia,Bangladesh,The Government of Bangladesh,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geodash-e-resilience-bangladesh-platform.jpg
64,GeoDASH Geospatial Data Platform Bangladesh,"GeoDASH is geo-spatial data storing and sharing initiative by Bangladesh Government. It is a web based platform for compiling, updating and sharing geospatial database which will allow facilitating the use, management, exchange and quality control of geospatial data sets in a collaborative manner.",Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Geographical Information Systems, Web Mapping",Various,Asia,Bangladesh,The Government of Bangladesh,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geodash-geospatial-data-platform-bangladesh,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geodash-e-resilience-bangladesh-platform.jpg
65,GeoNet New Zealand Earthquake Application,"GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Mobile App,Earthquakes,Oceania,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg
66,GeoNet New Zealand Earthquake Application,"GeoNet Quake is a smartphone application available on Android and iOS operating systems that provides information and alerts with regard to earthquake hazard in New Zealand. The application is free of charge and notifications can be set based on location and intensity, magnitude and depth.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Earthquakes,Oceania,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-earthquake-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg
67,GeoNet New Zealand Tsunami Warning System,The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Mobile App,Tsunamis,Oceania,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg
68,GeoNet New Zealand Tsunami Warning System,The Ministry of Civil Defence and Emergency Management of New Zealand (MCDEM) uses seismic sensors able to characterise potential tsunami-generating earthquakes occurring off the country's coast. It also operates or shares tsunami gauges across the greater New Zealand region to observe any tsunamis that may have been generated.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Tsunamis,Oceania,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Spatial Data,No Information,2021,https://drrgateway.net/e-resilience/tool/geonet-new-zealand-tsunami-warning-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geonet-earthquake-application-e-resilience.jpg
69,Global Earthquake Model & OpenQuake Platform,The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.,Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,"Web mapping, Geographical Information Systems",Earthquakes,Global,Global,Global Earthquake Model Foundation,None,Spatial Data,No Information,2019,https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/openquake-e-resilience-platform.jpg
70,Global Earthquake Model & OpenQuake Platform,The Global Earthquake Model (GEM) Foundation is a public-private partnership that drives a global collaborative effort in which science is applied to develop high-quality resources for transparent assessment of earthquake risk and to facilitate their application for risk management around the globe.,Risk Reduction,Situational awareness/actionable information gathering ,production,response,"Web mapping, Geographical Information Systems",Earthquakes,Global,Global,Global Earthquake Model Foundation,None,Spatial Data,No Information,2019,https://drrgateway.net/e-resilience/tool/global-earthquake-model-openquake-platform,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/openquake-e-resilience-platform.jpg
71,EWBS Emergency Warning Broadcast System,The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.,Risk Reduction,Emergency communications ,production,preparedness,Geographical Information Systems,Various,Asia,Philippines,"National Telecommunications Commission (NTC), Philippines",None,None,No Information,2008,https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/radio-1475054_1280.jpg
72,EWBS Emergency Warning Broadcast System,The Emergency Warning Broadcast System (EWBS) incorporates new technology into early warning systems alongside traditional methods of communication. EWBS is a remote activation system for Radio & TV that transmits alert/warning information to viewers and listener about a relevant disaster.,Risk Reduction,Emergency communications ,production,response,Geographical Information Systems,Various,Asia,Philippines,"National Telecommunications Commission (NTC), Philippines",None,None,No Information,2008,https://drrgateway.net/e-resilience/tool/ewbs-emergency-warning-broadcast-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/radio-1475054_1280.jpg
73,MyShake Earthquake Application,MyShake is a free app for Android smartphones that has the ability to recognize earthquake shaking using the sensors (such as the accelerometer) in every smartphone. The app runs 'silently' in the background of a phone using very little power.,Risk Reduction,Disaster assessment/prediction and early warning systems ,production,response,Mobile App,Earthquakes,Global,Global,Berkeley Seismology Lab,None,None,No Information,2021,https://drrgateway.net/e-resilience/tool/myshake-earthquake-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-03/myshake-image.jpg
74,Bhutan Forest Fire Detection and Monitoring System,"For Bhutan, there is a clear need for reliable and time-effective information on forest fires. To this regard, satellite imagery has found to be useful in fire detection and monitoring, and burnt area assessment on near real-time basis. To this regard, the International Centre for Integrated Mountain Development (ICIMOD) has developed a forest fire detection and monitoring system for Bhutan in close collaboration with the Department of Forests of Bhutan.",Disaster Risk Management,Damage and loss assessment ,production,recovery,Geographical Information Systems,Wildfires,Asia,Bhutan,International Centre for Integrated Mountain Development (ICIMOD),None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/bhutan-forest-fire-detection-and-monitoring-system,https://drrgateway.net/e-resilience/tool/bhutan-forest-fire-detection-and-monitoring-system
